,County,tweets
0,APPLING,0.0
1,ATKINSON,0.0
2,BACON,0.0
3,BAKER,0.0
4,BALDWIN,2.0
5,BANKS,0.0
6,BARROW,0.0
7,BARTOW,49.0
8,BEN HILL,0.0
9,BERRIEN,2.0
10,BIBB,0.0
11,BLECKLEY,0.0
12,BRANTLEY,0.0
13,BROOKS,8.0
14,BRYAN,0.0
15,BULLOCH,2.0
16,BURKE,0.0
17,BUTTS,0.0
18,CALHOUN,0.0
19,CAMDEN,8.0
20,CANDLER,0.0
21,CARROLL,2.0
22,CATOOSA,0.0
23,CHARLTON,0.0
24,CHATHAM,2.0
25,CHATTAHOOCHEE,0.0
26,CHATTOOGA,16.0
27,CHEROKEE,0.0
28,CLARKE,0.0
29,CLAY,0.0
30,CLAYTON,0.0
31,CLINCH,0.0
32,COBB,347.0
33,COFFEE,0.0
34,COLQUITT,0.0
35,COLUMBIA,0.0
36,COOK,0.0
37,COWETA,2.0
38,CRAWFORD,0.0
39,CRISP,0.0
40,DADE,6.0
41,DAWSON,2.0
42,DECATUR,0.0
43,DEKALB,22.0
44,DODGE,84.0
45,DOOLY,0.0
46,DOUGHERTY,0.0
47,DOUGLAS,0.0
48,EARLY,0.0
49,ECHOLS,0.0
50,EFFINGHAM,0.0
51,ELBERT,0.0
52,EMANUEL,2.0
53,EVANS,0.0
54,FANNIN,2.0
55,FAYETTE,0.0
56,FLOYD,0.0
57,FORSYTH,0.0
58,FRANKLIN,0.0
59,FULTON,72.0
60,GILMER,4.0
61,GLASCOCK,0.0
62,GLYNN,0.0
63,GORDON,0.0
64,GRADY,0.0
65,GREENE,0.0
66,GWINNETT,154.0
67,HABERSHAM,0.0
68,HALL,0.0
69,HANCOCK,0.0
70,HARALSON,0.0
71,HARRIS,2.0
72,HART,0.0
73,HEARD,0.0
74,HENRY,118.0
75,HOUSTON,0.0
76,IRWIN,0.0
77,JACKSON,0.0
78,JASPER,0.0
79,JEFF DAVIS,0.0
80,JEFFERSON,0.0
81,JENKINS,0.0
82,JOHNSON,0.0
83,JONES,0.0
84,LAMAR,0.0
85,LANIER,0.0
86,LAURENS,2.0
87,LEE,0.0
88,LIBERTY,6.0
89,LINCOLN,0.0
90,LONG,104.0
91,LOWNDES,6.0
92,LUMPKIN,12.0
93,MACON,0.0
94,MADISON,0.0
95,MARION,0.0
96,MCDUFFIE,0.0
97,MCINTOSH,0.0
98,MERIWETHER,0.0
99,MILLER,0.0
100,MITCHELL,0.0
101,MONROE,0.0
102,MONTGOMERY,0.0
103,MORGAN,0.0
104,MURRAY,0.0
105,MUSCOGEE,0.0
106,NEWTON,0.0
107,OCONEE,0.0
108,OGLETHORPE,0.0
109,PAULDING,0.0
110,PEACH,0.0
111,PICKENS,0.0
112,PIERCE,0.0
113,PIKE,0.0
114,POLK,0.0
115,PULASKI,0.0
116,PUTNAM,0.0
117,QUITMAN,0.0
118,RABUN,0.0
119,RANDOLPH,0.0
120,RICHMOND,0.0
121,ROCKDALE,8.0
122,SCHLEY,0.0
123,SCREVEN,0.0
124,SEMINOLE,0.0
125,SPALDING,0.0
126,STEPHENS,0.0
127,STEWART,0.0
128,SUMTER,0.0
129,TALBOT,0.0
130,TALIAFERRO,0.0
131,TATTNALL,0.0
132,TAYLOR,0.0
133,TELFAIR,0.0
134,TERRELL,0.0
135,THOMAS,0.0
136,TIFT,0.0
137,TOOMBS,4.0
138,TOWNS,0.0
139,TREUTLEN,0.0
140,TROUP,0.0
141,TURNER,0.0
142,TWIGGS,0.0
143,UNION,0.0
144,UPSON,0.0
145,WALKER,24.0
146,WALTON,6.0
147,WARE,0.0
148,WARREN,0.0
149,WASHINGTON,0.0
150,WAYNE,0.0
151,WEBSTER,0.0
152,WHEELER,0.0
153,WHITE,0.0
154,WHITFIELD,0.0
155,WILCOX,0.0
156,WILKES,0.0
157,WILKINSON,0.0
158,WORTH,0.0
