,County,n_poll
0,APPLING,9
1,ATKINSON,4
2,BACON,1
3,BAKER,5
4,BALDWIN,14
5,BANKS,13
6,BARROW,8
7,BARTOW,17
8,BEN HILL,2
9,BERRIEN,5
10,BIBB,31
11,BLECKLEY,1
12,BRANTLEY,3
13,BROOKS,7
14,BRYAN,10
15,BULLOCH,16
16,BURKE,16
17,BUTTS,1
18,CALHOUN,5
19,CAMDEN,14
20,CANDLER,4
21,CARROLL,28
22,CATOOSA,11
23,CHARLTON,8
24,CHATHAM,92
25,CHATTAHOOCHEE,1
26,CHATTOOGA,13
27,CHEROKEE,42
28,CLARKE,24
29,CLAY,5
30,CLAYTON,65
31,CLINCH,5
32,COBB,145
33,COFFEE,6
34,COLQUITT,19
35,COLUMBIA,47
36,COOK,8
37,COWETA,26
38,CRAWFORD,6
39,CRISP,5
40,DADE,7
41,DAWSON,3
42,DECATUR,9
43,DEKALB,193
44,DODGE,16
45,DOOLY,5
46,DOUGHERTY,28
47,DOUGLAS,25
48,EARLY,8
49,ECHOLS,1
50,EFFINGHAM,17
51,ELBERT,11
52,EMANUEL,11
53,EVANS,1
54,FANNIN,12
55,FAYETTE,36
56,FLOYD,25
57,FORSYTH,20
58,FRANKLIN,7
59,FULTON,394
60,GILMER,13
61,GLASCOCK,4
62,GLYNN,20
63,GORDON,13
64,GRADY,13
65,GREENE,5
66,GWINNETT,156
67,HABERSHAM,7
68,HALL,31
69,HANCOCK,10
70,HARALSON,12
71,HARRIS,12
72,HART,7
73,HEARD,6
74,HENRY,37
75,HOUSTON,17
76,IRWIN,3
77,JACKSON,4
78,JASPER,3
79,JEFF DAVIS,9
80,JEFFERSON,8
81,JENKINS,5
82,JOHNSON,4
83,JONES,10
84,LAMAR,6
85,LANIER,1
86,LAURENS,16
87,LEE,10
88,LIBERTY,13
89,LINCOLN,7
90,LONG,7
91,LOWNDES,13
92,LUMPKIN,1
93,MACON,5
94,MADISON,12
95,MARION,5
96,MCDUFFIE,9
97,MCINTOSH,6
98,MERIWETHER,14
99,MILLER,1
100,MITCHELL,11
101,MONROE,14
102,MONTGOMERY,7
103,MORGAN,7
104,MURRAY,7
105,MUSCOGEE,25
106,NEWTON,22
107,OCONEE,12
108,OGLETHORPE,3
109,PAULDING,19
110,PEACH,7
111,PICKENS,12
112,PIERCE,8
113,PIKE,8
114,POLK,7
115,PULASKI,1
116,PUTNAM,5
117,QUITMAN,2
118,RABUN,1
119,RANDOLPH,6
120,RICHMOND,68
121,ROCKDALE,16
122,SCHLEY,1
123,SCREVEN,12
124,SEMINOLE,5
125,SPALDING,20
126,STEPHENS,1
127,STEWART,4
128,SUMTER,11
129,TALBOT,7
130,TALIAFERRO,2
131,TATTNALL,8
132,TAYLOR,3
133,TELFAIR,6
134,TERRELL,6
135,THOMAS,20
136,TIFT,12
137,TOOMBS,5
138,TOWNS,3
139,TREUTLEN,2
140,TROUP,14
141,TURNER,3
142,TWIGGS,5
143,UNION,11
144,UPSON,4
145,WALKER,11
146,WALTON,21
147,WARE,12
148,WARREN,1
149,WASHINGTON,8
150,WAYNE,12
151,WEBSTER,1
152,WHEELER,2
153,WHITE,11
154,WHITFIELD,23
155,WILCOX,6
156,WILKES,7
157,WILKINSON,9
158,WORTH,15
